OBJECTID,Valor en pesos ($),Localidad,Sector Catastral,Identificador único de la manzana,coord_x,coord_y
93013,510000,LOS MARTIRES,LA FAVORITA,,"-74,0782554155","4,610100466651384"
93085,330000,SANTA FE,LA ALAMEDA,,"-74,073288892","4,61368018065148"
93097,510000,LOS MARTIRES,LA FAVORITA,,"-74,0778302965","4,60964756915137"
93103,480000,LOS MARTIRES,EL LISTON,,"-74,0818462355","4,612803737651475"
93107,405000,LOS MARTIRES,SANTA FE,,"-74,078748131","4,618464836151647"
93149,590000,SANTA FE,SAN DIEGO,,"-74,068855469","4,613677756651507"
93158,1800000,TEUSAQUILLO,QUESADA,,"-74,0679341325","4,640016615652362"
93189,375000,LOS MARTIRES,SANTA FE,,"-74,07835973250002","4,620251396651696"
93214,600000,TEUSAQUILLO,SAN LUIS,,"-74,06929623300002","4,647519742152591"
93235,1050000,TEUSAQUILLO,BANCO CENTRAL,,"-74,071032887","4,641327462152393"
93241,660000,TEUSAQUILLO,CENTRO NARINO,,"-74,08986335300003","4,631945927652099"
93247,420000,SANTA FE,LA ALAMEDA,,"-74,07337449600001","4,6096458956513935"
93274,2000000,TEUSAQUILLO,SAN LUIS,,"-74,07173595149999","4,643266743152463"
93297,390000,PUENTE ARANDA,ESTACION CENTRAL,,"-74,09655106700001","4,618666774651681"
93315,1300000,SANTA FE,SAN DIEGO,,"-74,06598695349999","4,609549469151368"
93361,1140000,SANTA FE,SAMPER,,"-74,068245045","4,6190013201516695"
93380,390000,PUENTE ARANDA,LA FLORIDA OCCIDENTAL,,"-74,0853390805","4,62250924265179"
93471,840000,CHAPINERO,CHAPINERO CENTRAL,008213029,"-74,0620561765","4,64569518215254"
93472,25000,CHAPINERO,CHAPINERO CENTRAL,008213030,"-74,06253735549998","4,645430351652545"
93569,300000,CHAPINERO,EL PARAISO,008110013,"-74,05645170700001","4,626429398151946"
93887,500000,CHAPINERO,MARIA CRISTINA,008205017,"-74,05374201449999","4,644145996152485"
94201,3000000,CHAPINERO,INGEMAR,008215006,"-74,05749524249998","4,6423830841524225"
94231,2800000,CHAPINERO,MARLY,008212027,"-74,064050976","4,635898498652235"
94240,900000,CHAPINERO,PARDO RUBIO,008208017,"-74,060192411","4,63841387615232"
94327,300000,CHAPINERO,EL PARAISO,008110039,"-74,061069578","4,62647777865192"
94500,2600000,CHAPINERO,MARLY,008212010,"-74,06433162850001","4,639125157652318"
94502,3600000,CHAPINERO,MARLY,008212018,"-74,06619016049999","4,632342404152096"
94503,3600000,CHAPINERO,MARLY,008212026,"-74,06385544000003","4,636357388152234"
94504,3000000,CHAPINERO,MARLY,008212003,"-74,066404272","4,6378648686522945"
94530,500000,CHAPINERO,MARIA CRISTINA,008205009,"-74,05458991","4,646510425652596"
94536,3600000,CHAPINERO,PARDO RUBIO,008208005,"-74,0635680735","4,634927724152183"
94601,3200000,CHAPINERO,SUCRE,008112015,"-74,066414662","4,629365091151993"
94613,96500,CHAPINERO,SUCRE,008112009,"-74,0676542505","4,628200855151958"
94677,720000,CHAPINERO,LA SALLE,008206014,"-74,0560858835","4,64279101865244"
94688,300000,CHAPINERO,EL PARAISO,008110012,"-74,05747989300002","4,626991139151947"
94699,112000,CHAPINERO,INGEMAR,008215011,"-74,05769735750002","4,638555170652296"
94722,2300000,CHAPINERO,CATALUNA,008111003,"-74,06280756999999","4,629267599152012"
94723,1276000,CHAPINERO,SUCRE,008112016,"-74,0661880845","4,628382499651966"
94910,25000,CHAPINERO,MARIA CRISTINA,008205016,"-74,055161062","4,644104591652491"
94912,3000000,CHAPINERO,BOSQUE CALDERON,008207031,"-74,05910212350003","4,642682065152448"
94966,3600000,CHAPINERO,PARDO RUBIO,008208008,"-74,063986839","4,631797983152076"
95159,1250000,CHAPINERO,CATALUNA,008111001,"-74,06353108549999","4,6306838041520555"
95163,2200000,CHAPINERO,SUCRE,008112002,"-74,06716886450002","4,631275803652061"
95270,3000000,CHAPINERO,CHAPINERO CENTRAL,008213014,"-74,06596829950001","4,640666632152353"
95272,112000,CHAPINERO,INGEMAR,008215012,"-74,05543957400002","4,640009454652344"
95436,1620000,CHAPINERO,CHAPINERO CENTRAL,008213021,"-74,0633093905","4,643057490152449"
95753,25000,CHAPINERO,SIBERIA CENTRAL,008110039,"-74,06078355950001","4,629933051652042"
95755,2200000,CHAPINERO,SUCRE,008112008,"-74,06732562650001","4,629334614152029"
96029,3000000,CHAPINERO,BOSQUE CALDERON,008207010,"-74,06133415399998","4,642023165152437"
96033,1800000,CHAPINERO,PARDO RUBIO,008208017,"-74,060815792","4,636450500152238"
96181,340000,CHAPINERO,SIBERIA CENTRAL,008220037,"-74,05914110149999","4,632935537652102"
96400,300000,CHAPINERO,EL PARAISO,008110017,"-74,0560238205","4,625986947151904"
96524,3000000,CHAPINERO,MARLY,008212007,"-74,06724767200001","4,633547961652146"
96533,4000000,CHAPINERO,MARIA CRISTINA,008205016,"-74,0547604015","4,643070134152458"
96544,3600000,CHAPINERO,MARLY,008212015,"-74,065705377","4,634453664152186"
96577,2200000,CHAPINERO,SUCRE,008112010,"-74,06494118400002","4,631545419152072"
96736,3000000,CHAPINERO,INGEMAR,008215004,"-74,05775932649999","4,640706213152395"
96739,340000,CHAPINERO,SIBERIA CENTRAL,008220052,"-74,0569989885","4,634269058152174"
96740,340000,CHAPINERO,SIBERIA CENTRAL,008220049,"-74,0577596855","4,632605246152146"
96819,3600000,CHAPINERO,MARLY,008212017,"-74,06607325299998","4,632831698652111"
96906,900000,CHAPINERO,INGEMAR,008215011,"-74,05873945349998","4,63900014065233"
96920,3600000,CHAPINERO,BOSQUE CALDERON,008207007,"-74,06259646800001","4,639969492152362"
96935,3600000,CHAPINERO,BOSQUE CALDERON,008207003,"-74,06190538000001","4,642350994152432"
97076,340000,CHAPINERO,SIBERIA CENTRAL,008220081,"-74,05952384349999","4,6326161916521205"
97096,3600000,CHAPINERO,CHAPINERO CENTRAL,008213036,"-74,06251612699998","4,6417490586523975"
97227,83000,CHAPINERO,SIBERIA CENTRAL,008220045,"-74,05923463850002","4,6340504216521685"
97228,340000,CHAPINERO,SIBERIA CENTRAL,008220073,"-74,060758252","4,630345654652034"
97229,340000,CHAPINERO,SIBERIA CENTRAL,008220069,"-74,060316631","4,63114427915208"
97287,3000000,CHAPINERO,BOSQUE CALDERON,008207019,"-74,06114828399998","4,6407479951523785"
97289,2800000,CHAPINERO,MARLY,008212014,"-74,06514307199998","4,635626961152234"
97292,3000000,CHAPINERO,CHAPINERO CENTRAL,008213008,"-74,0649689585","4,646424389652568"
