Nombre,Localidad,Tipo de Atractivo,Ubicación,coord_x,coord_y
Zona gastronómica de La Macarena,Santa Fe,3,Entre KR 7 y 3 y entre CL 25 y 30 Barrio La Macarena,"-74,06633821844794","4,613893999779681"
Museo Histórico Mariano Ospina Pérez,,3,AK 24 # 39 - 32,"-74,07483209847973","4,6281529230625145"
Museo Oficial Millonarios F.C.,,3,AK 30 N 57 - 60 Estadio Nemesio Camacho el Campin,"-74,07804899964815","4,646104000126597"
Museo Casa Caro y Cuervo,,3,CL 10 # 4 - 69,"-74,07398495572576","4,595743931124285"
Museo del Espacio,,3,CL 26 N 5 - 93 Planetario de Bogota,"-74,06879699990702","4,6120250004244765"
Museo de Artes Visuales de la Universidad Jorge Tadeo Lozano,,3,KR 4 #. 22 - 40,"-74,06735846745545","4,606233605377339"
Museo de Historia Natural de la Universidad  Nacional,,3,KR 30 N 45 - 03 ED 425 (Instituto de Ciencias Naturales).,"-74,08423300026739","4,637405969703336"
Museo Claustro de San Agustín UNAL,,3,KR 8 # 7 - 21,"-74,07903328460326","4,595397669399762"
Colección Museo Historia de la Medicina,,3,KR 8 # 7 - 21,"-74,07903328460326","4,595397669399762"
Colección Museo organologico musical,,3,KR 8 # 7 -21,"-74,07903328460326","4,595397669399762"
Humedal Vaca,Kennedy,4,KR 81D CL 40C Sur,"-74,16254399987652","4,6293149999754055"
Humedal Burro,Kennedy,4,KR 81D CL 40C Sur,"-74,15138700040454","4,643654000353831"
Observatorio Astronómico Nacional,Candelaria,3,"KR 8 con CL 8 (adyacente al Palacio de Nariño, sede de la Presidencia)","-74,07750399985011","4,59622299965763"
Ciclo Rosa Audiovisual,,1,KR 7 # 22 - 79,"-74,07094178783498","4,608780400485399"
Semana por la Igualdad,,1,AK 30 25 - 90 P 13,"-74,08101060230774","4,62636209737269"
"Archivo Histórico Javeriano - Juan Manuel Pacheco, SJ.",Chapinero,3,KR 5 # 39 - 00 ED Pedro Arrupe (94) P 1,"-74,06374499961497","4,629874000077443"
Plaza de Mercado Distrital La Perseverancia,Santa Fe,3,KR 5 # 30A - 30,"-74,06636572665856","4,616287109433755"
