Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
08-746,2,Kennedy,CERTIFICADO,Vecinal,PUESTO DE MONTA,8,"-74,13030942060895","4,621384731343036"
08-748,2,Kennedy,CERTIFICADO,Vecinal,TIERRA BUENA,8,"-74,17095682761519","4,648655533013878"
02-194,4,Chapinero,CERTIFICADO,Vecinal,ARBOS,2,"-74,05859753670512","4,637725974063386"
13-149,4,Teusaquillo,CERTIFICADO,Vecinal,FUTURA,13,"-74,08404069477042","4,628731037337838"
08-560,3,Kennedy,CERTIFICADO,Bolsillo,UNIDAD RESIDENCIAL AYACUCHO - SUPERMANZANA 9A,8,"-74,15126463414234","4,626700778416195"
08-561,3,Kennedy,CERTIFICADO,Bolsillo,UNIDAD RESIDENCIAL AYACUCHO - SUPERMANZANA 9A,8,"-74,15074815046466","4,627434788927898"
08-562,3,Kennedy,CERTIFICADO,Bolsillo,UNIDAD RESIDENCIAL AYACUCHO - SUPERMANZANA 9A,8,"-74,15286205027076","4,628749190012266"
08-565,2,Kennedy,CERTIFICADO,Bolsillo,DESARROLLO ALQUERÍA DE LA FRAGUA,8,"-74,13624940061864","4,601408833192947"
08-566,3,Kennedy,CERTIFICADO,Bolsillo,VILLA CLAUDIA,8,"-74,12835045279078","4,6152432100818475"
16-310,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANO LA PRIMAVERA,16,"-74,10549057055573","4,614501287692064"
16-311,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANO LA PRIMAVERA,16,"-74,10561351263804","4,615274566200861"
16-319,3,Puente Aranda,CERTIFICADO,Vecinal,NAVARRA PARQUE RESIDENCIAL,16,"-74,10916786908705","4,612423370702438"
16-320,4,Puente Aranda,CERTIFICADO,Vecinal,PARQUE INDUSTRIAL PUENTE ARANDA,16,"-74,10639808189342","4,624342765434527"
08-471,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,EL RECODO Y PETALUMA,8,"-74,12245272369302","4,637943239120882"
16-100,3,Puente Aranda,CERTIFICADO,Bolsillo,EL JAZMÍN I SECTOR,16,"-74,11560743456556","4,6102363317342245"
08-567,2,Kennedy,CERTIFICADO,Vecinal,LA ALEJANDRA,8,"-74,14945627427144","4,604095631336178"
08-573,2,Kennedy,CERTIFICADO,Bolsillo,BERLÍN,8,"-74,16459229975982","4,612406957926606"
08-603,2,Kennedy,CERTIFICADO,Bolsillo,CALARCÁ,8,"-74,17013728739497","4,618472930784114"
08-604,2,Kennedy,CERTIFICADO,Bolsillo,CALARCÁ,8,"-74,17034294949275","4,618758335838109"
08-605,3,Kennedy,CERTIFICADO,Bolsillo,CALARCÁ,8,"-74,16818760995346","4,619314076033039"
