Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
16-010,3,Puente Aranda,CERTIFICADO,Vecinal,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),16,"-74,10150586943251","4,607600530115555"
16-078,3,Puente Aranda,CERTIFICADO,Vecinal,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),16,"-74,10204021431295","4,606550177318983"
03-153,5,Santa Fe,CERTIFICADO,Vecinal,PARQUE CENTRAL BAVARIA,3,"-74,06940723311521","4,618521786824116"
03-154,5,Santa Fe,CERTIFICADO,Bolsillo,PARQUE CENTRAL BAVARIA,3,"-74,06984102956592","4,618845263295908"
13-174,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN CIUDAD SALITRE SÚPER MANZANA III-19 MANZANA,13,"-74,09913297140614","4,641006729525757"
08-702,3,Kennedy,CERTIFICADO,Bolsillo,EL CARMEN,8,"-74,13873451663946","4,625172493987835"
08-526,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVAS DELICIAS,8,"-74,14691363597888","4,596390931877242"
08-214,3,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS SECTOR AVENIDA GALÁN,8,"-74,13831824362501","4,619343352450362"
08-707,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,1252898499478","4,646194283147356"
08-708,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,12608246451487","4,644968969683449"
16-206,3,Puente Aranda,CERTIFICADO,Vecinal,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),16,"-74,10250826352544","4,605631911009515"
16-190,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN MUZÚ I ETAPA (OSPINA PÉREZ),16,"-74,13219505580639","4,5960923300432555"
02-168,1,Chapinero,CERTIFICADO,Vecinal,DESARROLLOS SAN MARTIN DE PORRES Y MARISCAL SUCRE,2,"-74,05973885390928","4,629667388810031"
16-104,3,Puente Aranda,INVESTIGADO NO CERTIFICADO,Bolsillo,CARABELAS - GAITÁN CORTEZ,16,"-74,1125843417756","4,609821097441143"
16-079,3,Puente Aranda,CERTIFICADO,Vecinal,LA ARBOLEDA,16,"-74,11874535091346","4,619964236674595"
16-070,3,Puente Aranda,CERTIFICADO,Vecinal,LA CAMELIA NORTE,16,"-74,11642957451022","4,614658647743871"
16-055,3,Puente Aranda,CERTIFICADO,Vecinal,LA CAMELIA II SECTOR,16,"-74,12260813403378","4,61563123726191"
16-054,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LA CAMELIA,16,"-74,12191601489589","4,615273894625638"
08-720,3,Kennedy,CERTIFICADO,Vecinal,VILLA MARIANA,8,"-74,1450594404689","4,642946662572214"
08-610,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD URBISA I Y II SECTOR - CASTILLA REAL,8,"-74,13765398214237","4,646417158422744"
03-158,3,Santa Fe,CERTIFICADO,Bolsillo,URBANIZACIÓN SAGRADO CORAZÓN,3,"-74,06638352767422","4,6248916660783745"
16-170,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12972518509426","4,6009822997735625"
16-171,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12986772078038","4,600463531916263"
16-173,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,13044823098161","4,599893477950586"
16-175,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12962037370932","4,599607441213724"
16-278,3,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,16,"-74,12161721951188","4,604711055895672"
16-279,3,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,16,"-74,12118432586803","4,6040382428493265"
16-281,3,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,16,"-74,11927866857039","4,604957435323536"
16-283,3,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,16,"-74,11977948113793","4,60403922870475"
08-413,2,Kennedy,CERTIFICADO,Vecinal,FLORESTA DEL SUR,8,"-74,12787465471065","4,620742194885116"
08-608,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,CIUDAD URBISA I Y II SECTOR - CASTILLA REAL,8,"-74,13326898723697","4,646352682993486"
08-609,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,CIUDAD URBISA I Y II SECTOR - CASTILLA REAL,8,"-74,13650186539188","4,64557746010831"
03-155,5,Santa Fe,CERTIFICADO,Vecinal,PARQUE CENTRAL BAVARIA,3,"-74,07041509974485","4,6193088514826055"
09-204,3,Fontibon,CERTIFICADO,Bolsillo,URBANIZACIÓN INDUSTRIAL FRANCO,9,"-74,12429847054773","4,6465881717445505"
08-681,2,Kennedy,CERTIFICADO,Bolsillo,DESARROLLO TAYRONA,8,"-74,15834606206106","4,640282429995587"
16-408,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN MUZÚ II ETAPA,16,"-74,12784963707915","4,598586143430568"
14-008,3,Martires,CERTIFICADO,Vecinal,BARRIO LA PEPITA,14,"-74,09093971977069","4,607902791194667"
14-007,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESTANZUELA,14,"-74,0895838242404","4,602380649471733"
14-011,3,Martires,CERTIFICADO,Vecinal,LA ESTANZUELA,14,"-74,08764713014969","4,6008525944263905"
14-018,3,Martires,CERTIFICADO,Vecinal,VOTO NACIONAL,14,"-74,08175088417046","4,601839640438742"
14-021,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN EL PROGRESO,14,"-74,092881826211","4,599826515149637"
14-020,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL VERAGUAS ESTANZUELA NO. 3,14,"-74,0947098582883","4,601394697172415"
14-016,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA FE III SECTOR,14,"-74,07804891879977","4,614580413074586"
14-030,3,Martires,CERTIFICADO,Zonal Existente,EDUARDO SANTOS,14,"-74,09019711531383","4,598488403714637"
14-028,3,Martires,CERTIFICADO,Vecinal,BARRIO SANTA FE,14,"-74,07348342495519","4,614681610562348"
08-342,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN COOPDESARROLLO SUR TUNDAMA I ETAPA,8,"-74,15060598892686","4,601252242111521"
03-093,3,Santa Fe,CERTIFICADO,Escenario Deportivo,PLAZA DE TOROS,3,"-74,0680546537158","4,613069776936584"
03-048,2,Santa Fe,CERTIFICADO,Bolsillo,DESARROLLO LA PAZ CENTRAL,3,"-74,0655634498123","4,607236460095138"
08-570,3,Kennedy,CERTIFICADO,Bolsillo,TECHO BAVARIA I SECTOR,8,"-74,13683544039958","4,63200509319526"
19-133,3,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN MADELENA I Y II SECTOR,19,"-74,15434113087764","4,592702461407083"
08-722,2,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,PRIMAVERA,8,"-74,161495107637","4,645278224104951"
08-034,2,Kennedy,CERTIFICADO,Zonal Existente,PATIO BONITO,8,"-74,16439660491926","4,64113883356417"
16-057,3,Puente Aranda,CERTIFICADO,Vecinal,LAS CARABELAS,16,"-74,1124115562206","4,606891906571505"
16-092,3,Puente Aranda,CERTIFICADO,Vecinal,VILLA INÉS,16,"-74,1101863457185","4,6060431906238914"
08-007,2,Kennedy,CERTIFICADO,Vecinal,PATIO BONITO II SECTOR,8,"-74,15989355476671","4,640513200545658"
16-059,3,Puente Aranda,CERTIFICADO,Vecinal,VILLA INÉS,16,"-74,10954328582406","4,606911493743088"
16-037,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN BOCHICA,16,"-74,10863560111152","4,6065108533593655"
16-043,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN MARICUTANA,16,"-74,11059797579041","4,62084188280696"
16-044,3,Puente Aranda,CERTIFICADO,Vecinal,LAS CARABELAS,16,"-74,11168116166508","4,6040256612552595"
16-088,3,Puente Aranda,CERTIFICADO,Vecinal,CARABELAS,16,"-74,11230254970329","4,604649746675026"
16-089,3,Puente Aranda,CERTIFICADO,Bolsillo,VILLAS DEL ROSARIO,16,"-74,11780458843555","4,5957833442148015"
08-263,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN CARIMAGUA PRIMER SECTOR,8,"-74,1449815340759","4,609600447027706"
08-313,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,1431218206643","4,608852628140076"
08-319,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN TIMIZA CÉLULA B - AGRUPACIÓN DE VIVIENDA TONOLI,8,"-74,15300794026615","4,614646172402445"
08-133,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN LAURELES II SECTOR,8,"-74,14315373196729","4,6252698065383075"
08-035,2,Kennedy,CERTIFICADO,Vecinal,SAN DIONISIO,8,"-74,16640462165027","4,638012896277626"
08-380,2,Kennedy,CERTIFICADO,Vecinal,VILLA NUEVA,8,"-74,14069304607978","4,603095650092458"
08-021,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,13518568932105","4,6106276575915555"
08-025,3,Kennedy,CERTIFICADO,Vecinal,SAN ANDRÉS 2 SECTOR,8,"-74,14595067029123","4,600801754159227"
08-411,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,13082524806731","4,615130139674529"
08-189,2,Kennedy,CERTIFICADO,Vecinal,VALENCIA LA CHUCUA,8,"-74,14398565187045","4,6060105276874195"
08-450,2,Kennedy,CERTIFICADO,Vecinal,UNIDAD VECINAL PASTRANA,8,"-74,16172414839005","4,614923536491752"
08-457,3,Kennedy,CERTIFICADO,Vecinal,RINCÓN DE LOS ÁNGELES,8,"-74,14188371897143","4,6351568095314075"
08-274,3,Kennedy,CERTIFICADO,Vecinal,BERTHA HERNÁNDEZ DE OSPINA,8,"-74,17387766742215","4,611969438597582"
08-136,3,Kennedy,CERTIFICADO,Vecinal,BERTHA HERNÁNDEZ DE OSPINA,8,"-74,17064147133976","4,611639005143021"
08-282,2,Kennedy,CERTIFICADO,Vecinal,JACQUELINE,8,"-74,16461546731098","4,61102961107256"
02-146,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,2,"-74,05641187857586","4,634469019810637"
02-150,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO PARDO RUBIO,2,"-74,05790682343064","4,633036090903863"
08-750,2,Kennedy,CERTIFICADO,Vecinal,VILLAS DE CASTILLA,8,"-74,14693884719732","4,640273365962795"
16-132,3,Puente Aranda,CERTIFICADO,Vecinal,ALCALÁ,16,"-74,12527068169628","4,601699669521917"
16-127,3,Puente Aranda,CERTIFICADO,Bolsillo,EL JAZMÍN II SECTOR,16,"-74,11931671312098","4,608956242987295"
16-099,3,Puente Aranda,CERTIFICADO,Zonal Existente,MILENTA TEJAR SAN EUSEBIO,16,"-74,12541765326328","4,613000537609198"
16-220,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN SAN EUSEBIO,16,"-74,12334112921206","4,60314901735927"
16-080,3,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ,16,"-74,12749815415626","4,599172798637072"
16-109,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12722378531228","4,599702090903178"
16-116,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12760515743048","4,599623280791034"
16-384,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN MUZÚ SEGUNDA ETAPA,16,"-74,13028667885922","4,60091434226587"
13-078,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESMERALDA (ANTES LOS URAPANES),13,"-74,09056335935347","4,643129138513239"
16-202,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,12508576574083","4,6083472735307485"
16-204,3,Puente Aranda,CERTIFICADO,Zonal Existente,EL JAZMÍN,16,"-74,11560519281977","4,609413297144985"
13-079,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESMERALDA (ANTES LOS URAPANES),13,"-74,09139743431498","4,6444248129269115"
13-080,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESMERALDA (ANTES LOS URAPANES),13,"-74,0932549598797","4,6473197718957575"
13-105,4,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE SECTOR III SM III-3, SM III-4, SM III-5, SM III-6, SM III-7 Y SM III-8",13,"-74,1021662704052","4,642301587681444"
03-156,5,Santa Fe,CERTIFICADO,Bolsillo,PARQUE RESIDENCIAL BAVIERA,3,"-74,06928438221189","4,619713350206091"
02-021,1,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO SAN MARTÍN DE PORRES,2,"-74,06048388157164","4,63264545248457"
16-257,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12915654792616","4,599712221272191"
16-261,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,13084422722348","4,600324536571619"
16-195,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12833681771225","4,600848830627147"
16-060,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LA MARICUTANA,16,"-74,11763004891995","4,619771323911859"
16-061,3,Puente Aranda,CERTIFICADO,Vecinal,COLONIA ORIENTAL - PARQUE PIO XII,16,"-74,11681407186728","4,618677541315121"
16-161,3,Puente Aranda,CERTIFICADO,Vecinal,LOS EUCALIPTOS,16,"-74,11446233994565","4,619969413466542"
16-164,3,Puente Aranda,CERTIFICADO,Vecinal,LA PRIMAVERA,16,"-74,10782208634107","4,616637382172518"
16-165,3,Puente Aranda,CERTIFICADO,Bolsillo,GORGONZOLA,16,"-74,1060948879086","4,6175540915672535"
16-135,3,Puente Aranda,CERTIFICADO,Vecinal,COLON - SIMÓN BOLÍVAR,16,"-74,11538704324124","4,622616345283513"
16-018,3,Puente Aranda,CERTIFICADO,Bolsillo,SAN FRANCISCO,16,"-74,10914815106656","4,6239757093844105"
16-167,3,Puente Aranda,CERTIFICADO,Vecinal,ZONA INDUSTRIAL PUENTE ARANDA,16,"-74,11225253150826","4,634751328415541"
16-024,3,Puente Aranda,CERTIFICADO,Escenario Deportivo,UNIDAD DEPORTIVA LA ALQUERÍA,16,"-74,13455755897746","4,596377507084039"
16-221,3,Puente Aranda,INVESTIGADO NO CERTIFICADO,Zonal Propuesto,VERAGUAS (PREDIO FISCAL),16,"-74,1064928698764","4,606685525775095"
16-225,3,Puente Aranda,CERTIFICADO,Bolsillo,GORGONZOLA,16,"-74,10633676513791","4,619077643667857"
16-140,3,Puente Aranda,CERTIFICADO,Vecinal,SANTA MATILDE,16,"-74,1070802548845","4,598904922601378"
16-145,3,Puente Aranda,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL BOSQUE LOS COMUNEROS,16,"-74,10655774890117","4,6106013942187145"
16-155,3,Puente Aranda,CERTIFICADO,Vecinal,VILLA INÉS MANZANA 64D,16,"-74,11099465250611","4,606158609680067"
16-158,3,Puente Aranda,CERTIFICADO,Bolsillo,MONTES III SECTOR,16,"-74,11842753999152","4,602868638851055"
16-166,3,Puente Aranda,CERTIFICADO,Vecinal,PHILIPS DESARROLLO INDUSTRIAL,16,"-74,11068924956402","4,622395973217213"
02-131,2,Chapinero,CERTIFICADO,Bolsillo,DESARROLLO LOS OLIVOS,2,"-74,05644941647664","4,644961958652077"
13-096,4,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE SECTOR III SM III-12, SM III-13, SM III-18",13,"-74,10054327205413","4,643097727915891"
13-059,4,Teusaquillo,CERTIFICADO,Bolsillo,LA SOLEDAD 1,13,"-74,07752620216151","4,631485904783839"
13-028,3,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN BELALCAZAR,13,"-74,07800607724555","4,637580295061003"
13-024,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN BELALCAZAR,13,"-74,077843612884","4,6364733631474255"
13-026,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN BELALCAZAR,13,"-74,0787775234621","4,6366390394102694"
13-025,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN BELALCAZAR,13,"-74,07739994080423","4,635324837442134"
13-185,4,Teusaquillo,CERTIFICADO,Vecinal,LA ESTRELLA,13,"-74,07834204895843","4,624892816582328"
16-366,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LA CAMELIA,16,"-74,11991626670792","4,613093584484174"
14-064,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL I SECTOR,14,"-74,09757714502959","4,599603942349802"
08-131,3,Kennedy,CERTIFICADO,Vecinal,AMÉRICAS OCCIDENTAL II ETAPA - PIO X,8,"-74,14030318667878","4,624984984914452"
08-243,3,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY SUPERMANZANA 6A,8,"-74,14829301436899","4,617010093577047"
08-348,3,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS SECTOR AVENIDA GALÁN,8,"-74,13823080880178","4,622306995516208"
08-310,3,Kennedy,CERTIFICADO,Bolsillo,KENNEDY SUPERMANZANA 9B,8,"-74,15366504217597","4,627515838466631"
08-315,3,Kennedy,CERTIFICADO,Bolsillo,AVENIDA PRIMERO DE MAYO - LA LLANURA,8,"-74,13266773628332","4,612282830440096"
08-260,2,Kennedy,CERTIFICADO,Vecinal,"URBANIZACIÓN GRAN BRITALIA, EL ALMENAR",8,"-74,16983559763909","4,6205601864936146"
08-706,3,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,12878803923365","4,641379806276886"
14-017,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN VERAGUAS II,14,"-74,09615748438549","4,601175128512798"
14-009,3,Martires,CERTIFICADO,Zonal Existente,SANTA ISABEL,14,"-74,0996906024154","4,59901862012164"
14-026,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL PRIMER SECTOR,14,"-74,09969001626467","4,601270216787425"
14-019,3,Martires,CERTIFICADO,Bolsillo,LA CARMELITA,14,"-74,09287841216374","4,597620219001447"
14-050,3,Martires,CERTIFICADO,Bolsillo,BARRIO EDUARDO SANTOS,14,"-74,09001035646455","4,596179813681717"
14-048,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL TERCER SECTOR,14,"-74,10041276166555","4,597637742468817"
14-057,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL TERCER SECTOR,14,"-74,10207512194658","4,59802664005866"
14-056,3,Martires,CERTIFICADO,Bolsillo,SANTA ISABEL,14,"-74,09708989028549","4,597181863725453"
14-034,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA FE III SECTOR,14,"-74,0785779703574","4,618556864925934"
13-030,3,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN BELALCAZAR,13,"-74,0783643271775","4,635496782061894"
03-131,1,Santa Fe,CERTIFICADO,Vecinal,LA PAZ CENTRAL,3,"-74,0640544867475","4,607301119644101"
09-162,4,Fontibon,CERTIFICADO,Vecinal,"CIUDAD SALITRE TERCERA ETAPA DE DESARROLLO SECTOR 1 SUPERMANZANAS SM1-5, SM1-6, SM1-8, SM1-9",9,"-74,11109265645783","4,648933931234662"
08-777,2,Kennedy,CERTIFICADO,Vecinal,VILLA DE LA TORRE,8,"-74,16689102119823","4,626019590555895"
08-382,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY OCCIDENTAL SUPERMANZANA 14,8,"-74,16046160802986","4,621508890722371"
08-644,2,Kennedy,CERTIFICADO,Bolsillo,VILLA CASTILLA,8,"-74,1489515383119","4,639355003836347"
08-646,2,Kennedy,CERTIFICADO,Bolsillo,VILLA CASTILLA,8,"-74,14844949056086","4,639250993398187"
13-027,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN CÁDIZ,13,"-74,09666920789047","4,632501194179026"
13-032,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN PALERMO,13,"-74,07047065156203","4,634906209810636"
08-225,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 6,8,"-74,15230491063996","4,618371475851577"
08-296,3,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA - BAVARIA TECHO II SECTOR (TERMINACIÓN) - RINCÓN DE CASTILLA,8,"-74,13979412083958","4,642797979402667"
08-327,3,Kennedy,CERTIFICADO,Bolsillo,MANDALAY,8,"-74,1431624429306","4,62386810569881"
08-333,3,Kennedy,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL LOS CRISTALES,8,"-74,14826371401936","4,611387678612113"
08-337,3,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY OCCIDENTAL SUPERMANZANA 14,8,"-74,1616672050825","4,622797277808283"
08-477,3,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA,8,"-74,13799266003008","4,643205808596469"
08-422,4,Kennedy,CERTIFICADO,Bolsillo,MANDALAY I SECTOR,8,"-74,14660794063516","4,6288172267767145"
08-423,4,Kennedy,CERTIFICADO,Bolsillo,MANDALAY I SECTOR,8,"-74,14648403421137","4,630152612634048"
08-440,4,Kennedy,CERTIFICADO,Bolsillo,MANDALAY I SECTOR,8,"-74,14576993644258","4,63033141848269"
08-445,4,Kennedy,CERTIFICADO,Bolsillo,MANDALAY I SECTOR,8,"-74,14518390699226","4,630018149274989"
08-558,3,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY SUPERMANZANA NO. 2,8,"-74,14486091997765","4,622205100502127"
08-612,3,Kennedy,CERTIFICADO,Bolsillo,CARVAJAL MANZANA 124 LOTE 1,8,"-74,14286647768888","4,612668678789614"
08-710,3,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,12734773395687","4,643347717065252"
13-034,4,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LA MAGDALENA,13,"-74,07177342926042","4,626971043584174"
16-019,3,Puente Aranda,CERTIFICADO,Vecinal,EL JAZMÍN II SECTOR,16,"-74,11886649142448","4,608695104230771"
16-020,3,Puente Aranda,INVESTIGADO NO CERTIFICADO,Vecinal,JORGE G. CORTES,16,"-74,11106476556486","4,609508671460676"
08-569,3,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN BOITÁ Y URBANIZACIÓN COOPDESARROLLO SUR TUNDAMA I ETAPA,8,"-74,15141121449304","4,601966979564278"
16-387,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN TORREMOLINOS I ETAPA,16,"-74,12364031176998","4,611115397874395"
16-388,3,Puente Aranda,CERTIFICADO,Bolsillo,DESARROLLO CAMELIA SIR IV SECTOR,16,"-74,12359692853165","4,614490300213403"
15-079,3,Antonio Nariño,CERTIFICADO,Vecinal,AGRUPACIÓN SARGENTO PÁEZ PABÓN LA FRAGUA,15,"-74,11038221258642","4,596295616002902"
16-367,3,Puente Aranda,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL BOSQUE DE LOS COMUNEROS,16,"-74,10716936820984","4,612970259840125"
16-076,3,Puente Aranda,CERTIFICADO,Vecinal,SANTA MATILDE I SECTOR,16,"-74,10757638273782","4,600475300209967"
14-002,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL TERCER SECTOR,14,"-74,10304122500037","4,599451229405674"
14-010,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL TERCER SECTOR,14,"-74,1001846933388","4,597193317975497"
14-029,3,Martires,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA ISABEL CUARTO SECTOR,14,"-74,10402708245638","4,597336256386682"
16-407,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN MUZÚ II ETAPA,16,"-74,12831866994688","4,59802353071569"
14-037,3,Martires,CERTIFICADO,Metropolitano Propuesto,RECONCILIACIÓN,14,"-74,07657320552772","4,6181744232367965"
14-044,3,Martires,INVESTIGADO NO CERTIFICADO,Bolsillo,URBANIZACIÓN SANTA ISABEL QUINTO SECTOR,14,"-74,10242296534513","4,595124156082628"
14-049,3,Martires,CERTIFICADO,Bolsillo,LA CARMELITA,14,"-74,09272858305582","4,5972079985039125"
14-051,3,Martires,CERTIFICADO,Bolsillo,URBANIZACIÓN VERAGUAS I,14,"-74,10008488377338","4,603631211814724"
16-205,3,Puente Aranda,CERTIFICADO,Vecinal,EL TEJAR,16,"-74,12776293483202","4,609082929049062"
16-214,3,Puente Aranda,CERTIFICADO,Bolsillo,TORREMOLINOS II SECTOR,16,"-74,12319820186048","4,607881733056391"
16-095,3,Puente Aranda,CERTIFICADO,Vecinal,SAN FRANCISCO,16,"-74,106879140957","4,621093958070238"
16-036,3,Puente Aranda,CERTIFICADO,Vecinal,LA FRANCIA,16,"-74,10771624324104","4,620787826198536"
16-041,3,Puente Aranda,CERTIFICADO,Vecinal,SAN FRANCISCO,16,"-74,10831028790949","4,623765504105441"
16-012,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN PRIMAVERA NORTE,16,"-74,10973963643475","4,618143739797435"
16-046,3,Puente Aranda,CERTIFICADO,Vecinal,NUEVA MARICUTANA (ANTES BRASILIA),16,"-74,11145452749867","4,619280973566166"
16-069,3,Puente Aranda,CERTIFICADO,Vecinal,SORRENTO,16,"-74,11425544491014","4,6218612857421855"
16-071,3,Puente Aranda,CERTIFICADO,Vecinal,LA ARBOLEDA,16,"-74,11461294879123","4,624849146180017"
08-202,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN CARIMAGUA PRIMER SECTOR,8,"-74,14420468539123","4,609772910054563"
08-040,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,13543772290294","4,615778458430986"
08-014,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,1446882377289","4,616957671106235"
08-012,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN ALOHA (ANTES MARSELLA),8,"-74,1331441074886","4,632575116969284"
08-432,4,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN MANDALAY ETAPA A SECTOR II,8,"-74,14201954514071","4,628133109457819"
16-139,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12821086043468","4,598861097020002"
16-148,3,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ,16,"-74,12841734449094","4,5984407199049535"
16-156,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12914770625795","4,598216299835389"
16-160,3,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ I ETAPA,16,"-74,13208398855383","4,596610943477632"
16-162,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ I ETAPA,16,"-74,13211269736283","4,5970973888406395"
16-179,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12869959290742","4,597834212048696"
16-197,3,Puente Aranda,CERTIFICADO,Bolsillo,MUZÚ,16,"-74,12862660613806","4,599834388608675"
16-249,3,Puente Aranda,CERTIFICADO,Vecinal,MUZÚ I ETAPA,16,"-74,13137346563067","4,594645580402922"
16-058,3,Puente Aranda,CERTIFICADO,Vecinal,CARABELAS,16,"-74,11414409468827","4,606170090460603"
